JUnit version 4.12
[Call begin] java/lang/Object::<init>
[Call end] java/lang/Object::<init>
.[Call begin] org/apache/commons/lang3/SystemUtils::isJavaVersionMatch
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] java/lang/System::getProperty
[Call end] java/lang/System::getProperty
[Call end] org/apache/commons/lang3/SystemUtils::getSystemProperty
[Call begin] org/apache/commons/lang3/JavaVersion::get
[Call begin] org/apache/commons/lang3/JavaVersion::<init>
[Call begin] java/lang/Enum::<init>
[Call end] java/lang/Enum::<init>
[Call end] org/apache/commons/lang3/JavaVersion::<init>
[Call begin] org/apache/commons/lang3/JavaVersion::<init>
[Call begin] java/lang/Enum::<init>
[Call end] java/lang/Enum::<init>
[Call end] org/apache/commons/lang3/JavaVersion::<init>
[Call begin] org/apache/commons/lang3/JavaVersion::<init>
